"sample_name"	"sample_id"	"collection_label"	"project_name"	"site_code"	"site_name"	"accessioned"	"sample_type"	"habitat"	"host"	"trophic"	"site_type"	"metadata"	"latitude_deg"	"longitude_deg"	"empo_1"	"empo_2"	"empo_3"	"env_material"	"env_feature"	"env_biome"	"enve_biom_0"	"envo_biom_1e"	"envo_biome_2"	"envo_biome_3"	"PI"	"Processing"	"common_name"	"family"	"genus"	"species"	"taxonomy_info"	"collection_timestamp"	"geo_loc_name"
944	"WMEA_00944_No_M2"	"RockSwab4C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63852	-158.07061	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
871	"WMEA_00871_No_M1"	"RockSwab1A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
872	"WMEA_00872_No_M1"	"RockSwab1B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
873	"WMEA_00873_No_M1"	"RockSwab1C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
874	"WMEA_00874_No_M1"	"RockSwab2A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
875	"WMEA_00875_No_M1"	"RockSwab2B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
876	"WMEA_00876_No_M1"	"RockSwab2C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
877	"WMEA_00877_No_M1"	"RockSwab3A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
878	"WMEA_00878_No_M1"	"RockSwab3B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
879	"WMEA_00879_No_M1"	"RockSwab3C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
880	"WMEA_00880_No_M1"	"RockSwab4A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
881	"WMEA_00881_No_M1"	"RockSwab4B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
882	"WMEA_00882_No_M1"	"RockSwab4C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"MarineRockSwab"	"Marine"	"Nonhost"	"Environmental"	"Core Waimea"	"submerged boulders"	21.63854	-158.07167	"Free-living"	"Saline"	"Surface (saline)"	"biofilm material"	"biofilm"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Craig"	NA	"MarineRockSwab"	NA	NA	NA	NA	"2018-10-25"	"Waimea Valley"
958	"WMEA_00958_Pl_M2"	"Limu5B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Tiagora sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	"Tiagora"	NA	"cannot find name + ask for species help"	"2018-10-25"	"Waimea Valley"
888	"WMEA_00888_Pl_M1"	"Limu3B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Halimeda discoidea"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Halimedaceae"	"Halimeda"	"discoidea"	NA	"2018-10-25"	"Waimea Valley"
892	"WMEA_00892_Pl_M1"	"Limu4C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Liagora sp"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Liagoraceae"	"Liagora"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
885	"WMEA_00885_Pl_M1"	"Limu2B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Unknown"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	NA	NA	"what kind of seaweed?"	"2018-10-25"	"Waimea Valley"
886	"WMEA_00886_Pl_M1"	"Limu2C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Unknown"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	NA	NA	"what kind of seaweed?"	"2018-10-25"	"Waimea Valley"
953	"WMEA_00953_Pl_M2"	"Limu3C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Dictyoda sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Dictyotaceae"	"Dictyota"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
949	"WMEA_00949_Pl_M2"	"Limu2B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Geliadiella sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Gelidiellaceae"	"Gelidiella"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
895	"WMEA_00895_Pl_M1"	"Limu5C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Laurencia sp"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Rhodomelaceae"	"Laurencia"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
946	"WMEA_00946_Pl_M2"	"Limu1B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Neomeris sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Dasycladaceae"	"Neomeris"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
887	"WMEA_00887_Pl_M1"	"Limu3A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Halimeda discoidea"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Halimedaceae"	"Halimeda"	"discoidea"	NA	"2018-10-25"	"Waimea Valley"
962	"WMEA_00962_Pl_M2"	"Limu6C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Acanthophora sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Rhodomelaceae"	"Acanthophora"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
884	"WMEA_00884_Pl_M1"	"Limu2A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Unknown"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	NA	NA	"what kind of seaweed?"	"2018-10-25"	"Waimea Valley"
948	"WMEA_00948_Pl_M2"	"Limu2A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Geliadiella sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Gelidiellaceae"	"Gelidiella"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
889	"WMEA_00889_Pl_M1"	"Limu3C-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Halimeda discoidea"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Halimedaceae"	"Halimeda"	"discoidea"	NA	"2018-10-25"	"Waimea Valley"
957	"WMEA_00957_Pl_M2"	"Limu5A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Tiagora sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	"Tiagora"	NA	"cannot find name + ask for species help"	"2018-10-25"	"Waimea Valley"
894	"WMEA_00894_Pl_M1"	"Limu5B-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Laurencia sp"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Rhodomelaceae"	"Laurencia"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
955	"WMEA_00955_Pl_M2"	"Limu4B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Halemedia discoidea"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Halimedaceae"	"Halimeda"	"discoidea"	NA	"2018-10-25"	"Waimea Valley"
959	"WMEA_00959_Pl_M2"	"Limu5C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Tiagora sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	NA	"Tiagora"	NA	"cannot find name + ask for species help"	"2018-10-25"	"Waimea Valley"
950	"WMEA_00950_Pl_M2"	"Limu2C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Geliadiella sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Gelidiellaceae"	"Gelidiella"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
890	"WMEA_00890_Pl_M1"	"Limu4A-M1"	"Keck"	"M1"	"OutsideOcean"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Liagora sp"	21.63854	-158.07167	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Liagoraceae"	"Liagora"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
961	"WMEA_00961_Pl_M2"	"Limu6B-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Acanthophora sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Rhodomelaceae"	"Acanthophora"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
947	"WMEA_00947_Pl_M2"	"Limu1C-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Neomeris sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Dasycladaceae"	"Neomeris"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
945	"WMEA_00945_Pl_M2"	"Limu1A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Neomeris sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Dasycladaceae"	"Neomeris"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
954	"WMEA_00954_Pl_M2"	"Limu4A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Halemedia discoidea"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Halimedaceae"	"Halimeda"	"discoidea"	NA	"2018-10-25"	"Waimea Valley"
951	"WMEA_00951_Pl_M2"	"Limu3A-M2"	"Keck"	"M2"	"OutsideRocks"	"Yes"	"Limu"	"Marine"	"Plant"	"PrimaryProducer"	"Core Waimea"	"Dictyoda sp"	21.63852	-158.07061	"Host-associated"	"Plant"	"Plant corpus"	"organic material"	"plant-associated habitat"	"marine benthic biome"	"biome"	"aquatic biome"	"marine biome"	"marine benthic biome"	"Anthony"	"Freeze Dry"	"Algae"	"Dictyotaceae"	"Dictyota"	NA	"ask for species help"	"2018-10-25"	"Waimea Valley"
